Program_Name,URL
Mathematics and Physics,https://future.utoronto.ca/undergraduate-programs/mathematics-and-physics/
Mechanical Engineering,https://future.utoronto.ca/undergraduate-programs/mechanical-engineering/
Media Studies,https://future.utoronto.ca/undergraduate-programs/media-studies/
"Media, Journalism & Digital Cultures",https://future.utoronto.ca/undergraduate-programs/media-journalism-digital-cultures/
Mediaeval Studies,https://future.utoronto.ca/undergraduate-programs/mediaeval-studies/
Medicinal & Biological Chemistry,https://future.utoronto.ca/undergraduate-programs/medicinal-biological-chemistry/
Medicinal & Biological Chemistry (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/medicinal-biological-chemistry-health-sciences-stream/
Mental Health Studies,https://future.utoronto.ca/undergraduate-programs/mental-health-studies/
Mental Health Studies (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/mental-health-studies-health-sciences-stream/
Mineral Engineering,https://future.utoronto.ca/undergraduate-programs/mineral-engineering/
Molecular Biology,https://future.utoronto.ca/undergraduate-programs/molecular-biology/
Molecular Biology and Biotechnology,https://future.utoronto.ca/undergraduate-programs/molecular-biology-and-biotechnology/
Molecular Biology and Biotechnology (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/molecular-biology-and-biotechnology-health-sciences-stream/
"Molecular Biology, Immunology & Disease",https://future.utoronto.ca/undergraduate-programs/molecular-biology-immunology-disease/
"Molecular Biology, Immunology & Disease (Health Sciences Stream)",https://future.utoronto.ca/undergraduate-programs/molecular-biology-immunology-disease-health-sciences-stream/
Molecular Genetics and Microbiology,https://future.utoronto.ca/undergraduate-programs/molecular-genetics-and-microbiology/
Music (Arts program),https://future.utoronto.ca/undergraduate-programs/music-with-ensemble-option/
Music (MusBac; MusBacPerf),https://future.utoronto.ca/undergraduate-programs/music/
Music and Culture,https://future.utoronto.ca/undergraduate-programs/music-and-culture/
Music History and Culture,https://future.utoronto.ca/undergraduate-programs/music-history-and-culture/
Music Industry & Technology,https://future.utoronto.ca/undergraduate-programs/music-industry-technology/
Music Performance,https://future.utoronto.ca/undergraduate-programs/music-performance/
Nanoengineering,https://future.utoronto.ca/undergraduate-programs/nanoengineering/
Natural Sciences & Environmental Management,https://future.utoronto.ca/undergraduate-programs/natural-sciences-environmental-management/
Near and Middle Eastern Civilizations,https://future.utoronto.ca/undergraduate-programs/near-and-middle-eastern-civilizations/
Neuroscience,https://future.utoronto.ca/undergraduate-programs/neuroscience/
Neuroscience (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/neuroscience-health-sciences-stream/
New Media Studies (Joint Program with Centennial College),https://future.utoronto.ca/undergraduate-programs/new-media-studies-joint-program-with-centennial-college/
Nutritional Sciences,https://future.utoronto.ca/undergraduate-programs/nutritional-sciences/
Paleontology,https://future.utoronto.ca/undergraduate-programs/paleontology/
Paramedicine (Joint Program with Centennial College),https://future.utoronto.ca/undergraduate-programs/paramedicine-joint-program-with-centennial-college/
Pathobiology,https://future.utoronto.ca/undergraduate-programs/pathobiology/
"Peace, Conflict and Justice",https://future.utoronto.ca/undergraduate-programs/peace-conflict-and-justice/
Pharmaceutical Chemistry,https://future.utoronto.ca/undergraduate-programs/pharmaceutical-chemistry/
Pharmacology,https://future.utoronto.ca/undergraduate-programs/pharmacology/
Pharmacology and Biomedical Toxicology,https://future.utoronto.ca/undergraduate-programs/pharmacology-and-biomedical-toxicology/
Philosophy,https://future.utoronto.ca/undergraduate-programs/philosophy/
Physical and Environmental Geography,https://future.utoronto.ca/undergraduate-programs/physical-and-environmental-geography/
Physical and Mathematical Sciences,https://future.utoronto.ca/undergraduate-programs/physical-and-mathematical-sciences/
Physical Sciences,https://future.utoronto.ca/undergraduate-programs/physical-sciences/
Physics,https://future.utoronto.ca/undergraduate-programs/physics/
Physics and Astrophysics,https://future.utoronto.ca/undergraduate-programs/physics-and-astrophysics/
Physics and Philosophy,https://future.utoronto.ca/undergraduate-programs/philosophy-and-physics/
Physiology,https://future.utoronto.ca/undergraduate-programs/physiology/
Planetary Science,https://future.utoronto.ca/undergraduate-programs/planetary-science/
Plant Biology,https://future.utoronto.ca/undergraduate-programs/plant-biology/
Plant Biology (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/plant-biology-health-sciences-stream/
Political Science,https://future.utoronto.ca/undergraduate-programs/political-science/
Portuguese,https://future.utoronto.ca/undergraduate-programs/portuguese/
Professional Writing and Communication,https://future.utoronto.ca/undergraduate-programs/professional-writing-and-communication/
Psycholinguistics,https://future.utoronto.ca/undergraduate-programs/psycholinguistics/
Psychology,https://future.utoronto.ca/undergraduate-programs/psychology/
Psychology (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/psychology-health-sciences-stream/
Public Law,https://future.utoronto.ca/undergraduate-programs/public-law/
Public Policy,https://future.utoronto.ca/undergraduate-programs/public-policy/
Quantitative Biology,https://future.utoronto.ca/undergraduate-programs/quantitative-biology/
Religion,https://future.utoronto.ca/undergraduate-programs/religion/
Renaissance Studies,https://future.utoronto.ca/undergraduate-programs/renaissance-studies/
Robotics and Mechatronics,https://future.utoronto.ca/undergraduate-programs/robotics-and-mechatronics/
Rotman Commerce (BCom),https://future.utoronto.ca/undergraduate-programs/rotman-commerce-bcom/
"Science, Technology & Society",https://future.utoronto.ca/undergraduate-programs/science-and-society/
Sexual Diversity Studies,https://future.utoronto.ca/undergraduate-programs/sexual-diversity-studies/
Slavic Languages and Cultures,https://future.utoronto.ca/undergraduate-programs/slavic-languages-and-cultures/
Sociology,https://future.utoronto.ca/undergraduate-programs/sociology/
South Asian Studies,https://future.utoronto.ca/undergraduate-programs/south-asian-studies/
Spanish,https://future.utoronto.ca/undergraduate-programs/spanish/
Statistics,https://future.utoronto.ca/undergraduate-programs/statistics/
Strategic Management,https://future.utoronto.ca/undergraduate-programs/strategic-management/
Studio Art,https://future.utoronto.ca/undergraduate-programs/studio/
Sustainability,https://future.utoronto.ca/undergraduate-programs/sustainability/
Sustainable Energy,https://future.utoronto.ca/undergraduate-programs/sustainable-energy/
Synthetic and Catalytic Chemistry,https://future.utoronto.ca/undergraduate-programs/synthetic-and-catalytic-chemistry/
"Technology, Coding & Society",https://future.utoronto.ca/undergraduate-programs/technology-coding-society/
Theatre and Drama Studies (Joint Program with Sheridan College),https://future.utoronto.ca/undergraduate-programs/theatre-and-drama-studies-joint-program-with-sheridan-college/
Theatre and Performance Studies,https://future.utoronto.ca/undergraduate-programs/theatre-and-performance-studies/
"TrackOne, Undeclared Engineering",https://future.utoronto.ca/undergraduate-programs/trackone-undeclared-engineering/
Urban Studies,https://future.utoronto.ca/undergraduate-programs/urban-studies/
Visual Culture and Communication,https://future.utoronto.ca/undergraduate-programs/visual-culture-and-communication/
Visual Studies,https://future.utoronto.ca/undergraduate-programs/visual-studies/
Women and Gender Studies,https://future.utoronto.ca/undergraduate-programs/women-in-gender-studies/
Writing and Rhetoric,https://future.utoronto.ca/undergraduate-programs/writing-and-rhetoric/
"Yiddish, Al and Malka Green Program",https://future.utoronto.ca/undergraduate-programs/yiddish-al-and-malka-green-program/
